STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,STATISTICAL_OPERATION,Statistical operation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,HSPA,HSPA,METHODOLOGY,Calculation methodology,TIME_RANGE,Time range,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CAN,Canada,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,_T,Total,OBS,Observed,2009,,64.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CAN,Canada,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,_T,Total,OBS,Observed,2004,,61.1,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,TUR,Türkiye,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,_T,Total,OBS,Observed,2009,,52.7,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,TUR,Türkiye,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,_T,Total,OBS,Observed,2004,,52.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,ISR,Israel,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2009,,73,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,ISR,Israel,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2004,,67.1,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CYP,Cyprus,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2009,,24.4,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LVA,Latvia,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,45.1,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LVA,Latvia,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,34.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LTU,Lithuania,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2009,,7.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LTU,Lithuania,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2004,,7.7,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHL,Chile,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2004,,14.1,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHL,Chile,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2014,,15.3,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,SGP,Singapore,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,_T,Total,OBS,Observed,2009,,90.4,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,SGP,Singapore,A,Annual,CCLKNTSR,Childhood acute lymphoblastic leukaemia five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_LE14,14 years or less,_T,Total,OBS,Observed,2004,,79.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,ROU,Romania,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,_T,Total,OBS,Observed,2009,,19.3,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,BGR,Bulgaria,A,Annual,CCCVNTSR,Cervical cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,53.2,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,BGR,Bulgaria,A,Annual,CCCVNTSR,Cervical cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,49.2,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHE,Switzerland,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,66.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHE,Switzerland,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,59.8,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,FRA,France,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,32.1,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,FRA,France,A,Annual,CCSTNTSR,Stomach cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,30.5,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,BRA,Brazil,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2009,,50.4,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,BRA,Brazil,A,Annual,CCCLNTSR,Colon cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,M,Male,OBS,Observed,2004,,46.9,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHL,Chile,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2009,,8.5,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,CHL,Chile,A,Annual,CCLUNTSR,Lung cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,F,Female,OBS,Observed,2004,,9.3,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_CC(1.0),Cancer care,I,LVA,Latvia,A,Annual,CCRTNTSR,Rectal cancer five-year net survival,PT_POP_COND,Percentage of population who have condition,Y_GE15,15 years or over,_T,Total,OBS,Observed,2009,,42.5,,,,AGE_STANDARD,Age standardised rate,Data applies to previous five years inclusive,,1,One,,,,,,,0,Units
